Id,ActivityDay,ActivityHour,TotalIntensity,AverageIntensity,StepTotal,Calories
1503960366,12-04-2016,00:00,20,0.333333,373,81
1503960366,12-04-2016,01:00,8,0.133333,160,61
1503960366,12-04-2016,02:00,7,0.116667,151,59
1503960366,12-04-2016,03:00,0,0,0,47
1503960366,12-04-2016,04:00,0,0,0,48
1503960366,12-04-2016,05:00,0,0,0,48
1503960366,12-04-2016,06:00,0,0,0,48
1503960366,12-04-2016,07:00,0,0,0,47
1503960366,12-04-2016,08:00,13,0.216667,250,68
1503960366,12-04-2016,09:00,30,0.5,1864,141
1503960366,12-04-2016,10:00,29,0.483333,676,99
1503960366,12-04-2016,11:00,12,0.2,360,76
1503960366,12-04-2016,12:00,11,0.183333,253,73
1503960366,12-04-2016,13:00,6,0.1,221,66
1503960366,12-04-2016,14:00,36,0.6,1166,110
1503960366,12-04-2016,15:00,58,0.966667,2063,151
1503960366,12-04-2016,16:00,13,0.216667,344,76
1503960366,12-04-2016,17:00,16,0.266667,489,83
1503960366,12-04-2016,18:00,29,0.483333,1386,124
1503960366,12-04-2016,19:00,39,0.65,558,104
1503960366,12-04-2016,20:00,41,0.683333,1733,132
1503960366,12-04-2016,21:00,31,0.516667,684,100
1503960366,12-04-2016,22:00,9,0.15,89,65
1503960366,12-04-2016,23:00,21,0.35,338,81
1503960366,13-04-2016,00:00,14,0.233333,144,69
1503960366,13-04-2016,01:00,0,0,0,48
1503960366,13-04-2016,02:00,0,0,0,47
1503960366,13-04-2016,03:00,4,0.066667,36,53
1503960366,13-04-2016,04:00,0,0,0,47
1503960366,13-04-2016,05:00,0,0,0,47
1503960366,13-04-2016,06:00,0,0,0,48
1503960366,13-04-2016,07:00,8,0.133333,126,59
1503960366,13-04-2016,08:00,12,0.2,275,69
1503960366,13-04-2016,09:00,27,0.45,1679,136
1503960366,13-04-2016,10:00,15,0.25,295,77
1503960366,13-04-2016,11:00,16,0.266667,524,84
1503960366,13-04-2016,12:00,15,0.25,486,82
1503960366,13-04-2016,13:00,10,0.166667,302,72
1503960366,13-04-2016,14:00,46,0.766667,1577,128
1503960366,13-04-2016,15:00,13,0.216667,493,79
1503960366,13-04-2016,16:00,10,0.166667,299,71
1503960366,13-04-2016,17:00,23,0.383333,695,87
1503960366,13-04-2016,18:00,25,0.416667,1343,118
1503960366,13-04-2016,19:00,13,0.216667,258,73
1503960366,13-04-2016,20:00,0,0,0,47
1503960366,13-04-2016,21:00,0,0,0,48
1503960366,13-04-2016,22:00,11,0.183333,437,74
1503960366,13-04-2016,23:00,56,0.933333,1766,135
1503960366,14-04-2016,00:00,4,0.066667,81,56
1503960366,14-04-2016,01:00,3,0.05,58,54
1503960366,14-04-2016,02:00,0,0,0,47
1503960366,14-04-2016,03:00,0,0,0,47
1503960366,14-04-2016,04:00,0,0,0,47
1503960366,14-04-2016,05:00,0,0,0,47
1503960366,14-04-2016,06:00,0,0,0,47
1503960366,14-04-2016,07:00,0,0,0,47
1503960366,14-04-2016,08:00,0,0,0,47
1503960366,14-04-2016,09:00,14,0.233333,902,93
1503960366,14-04-2016,10:00,23,0.383333,1106,109
1503960366,14-04-2016,11:00,7,0.116667,50,64
1503960366,14-04-2016,12:00,18,0.3,501,85
1503960366,14-04-2016,13:00,54,0.9,1779,137
1503960366,14-04-2016,14:00,22,0.366667,1228,113
1503960366,14-04-2016,15:00,7,0.116667,139,66
1503960366,14-04-2016,16:00,25,0.416667,408,88
1503960366,14-04-2016,17:00,5,0.083333,37,61
1503960366,14-04-2016,18:00,12,0.2,322,72
1503960366,14-04-2016,19:00,1,0.016667,11,55
1503960366,14-04-2016,20:00,24,0.4,806,91
1503960366,14-04-2016,21:00,57,0.95,2670,174
1503960366,14-04-2016,22:00,17,0.283333,362,79
1503960366,14-04-2016,23:00,0,0,0,50
1503960366,15-04-2016,00:00,6,0.1,83,60
1503960366,15-04-2016,01:00,5,0.083333,75,58
1503960366,15-04-2016,02:00,7,0.116667,124,59
1503960366,15-04-2016,03:00,0,0,0,47
1503960366,15-04-2016,04:00,0,0,0,47
1503960366,15-04-2016,05:00,1,0.016667,26,49
1503960366,15-04-2016,06:00,0,0,0,47
1503960366,15-04-2016,07:00,1,0.016667,7,49
1503960366,15-04-2016,08:00,5,0.083333,55,54
1503960366,15-04-2016,09:00,2,0.033333,21,50
1503960366,15-04-2016,10:00,8,0.133333,154,63
1503960366,15-04-2016,11:00,23,0.383333,425,84
1503960366,15-04-2016,12:00,13,0.216667,270,74
1503960366,15-04-2016,13:00,9,0.15,373,67
1503960366,15-04-2016,14:00,0,0,0,47
1503960366,15-04-2016,15:00,0,0,0,47
1503960366,15-04-2016,16:00,0,0,0,47
1503960366,15-04-2016,17:00,47,0.783333,1774,140
1503960366,15-04-2016,18:00,22,0.366667,509,87
1503960366,15-04-2016,19:00,32,0.533333,519,97
